iter	Passed	Remaining
0	1	163
1	3	162
2	4	151
3	5	142
4	8	154
5	9	150
6	11	152
7	13	152
8	14	148
9	16	144
10	17	141
11	18	137
12	20	135
13	22	137
14	24	137
15	25	135
16	28	138
17	30	136
18	31	134
19	32	131
20	34	129
21	35	126
22	38	128
23	39	126
24	41	124
25	43	125
26	45	122
27	47	120
28	48	118
29	49	116
30	51	114
31	53	114
32	55	112
33	57	111
34	59	110
35	61	109
36	62	106
37	64	104
38	65	102
39	67	101
40	69	100
41	70	96
42	71	94
43	73	94
44	75	92
45	77	90
46	79	89
47	80	87
48	82	85
49	84	84
50	85	82
51	87	80
52	89	79
53	90	77
54	91	75
55	93	73
56	94	71
57	96	69
58	98	68
59	99	66
60	101	64
61	103	63
62	105	61
63	106	59
64	108	58
65	109	56
66	110	54
67	112	52
68	113	51
69	116	49
70	117	48
71	119	46
72	120	44
73	122	43
74	124	41
75	125	39
76	127	37
77	129	36
78	130	34
79	131	32
80	133	31
81	135	29
82	136	27
83	138	26
84	139	24
85	140	22
86	142	21
87	144	19
88	145	18
89	147	16
90	149	14
91	150	13
92	151	11
93	153	9
94	154	8
95	156	6
96	157	4
97	158	3
98	160	1
99	161	0
